Time_spent_sec,Concentration avg
12,0.5
28,0.49
15,0.46
55,0.5
60,0.55
60,0.53
115,0.64
45,0.72
55,0.47
58,0.55
110,0.56
155,0.67
51,0.57
10,0.49
35,0.59
345,0.5
95,0.49
58,0.71
8,0.7
15,0.55
10,0.61
14,0.78
76,0.44
73,0.56
15,0.58
12,0.56
15,0.84
45,0.76
40,0.72
17,0.87
263,0.57
171,0.51
42,0.6
34,0.62
10,0.55
13,0.62
12,0.72
5,0.36
30,0.41
39,0.42
8,0.53
5,0.6
18,0.48
8,0.5
5,0.51
32,0.31
9,0.35
111,0.27
86,0.32
70,0.46
47,0.67
25,0.73
47,0.6
7,0.57
10,0.42
10,0.46
25,0.5
41,0.33
25,0.31
205,0.32
60,0.43
111,0.5
125,0.49
55,0.59
146,0.58
121,0.53
71,0.5
14,0.43
44,0.41
114,0.43
145,0.46
15,0.32
16,0.53
73,0.46
37,0.62
13,0.46
35,0.48
87,0.45
28,0.48
15,0.53
25,0.44
25,0.44
5,0.67
14,0.58
55,0.57
21,0.65
30,0.56
35,0.66
39,0.55
16,0.58
24,0.61
177,0.49
65,0.43
52,0.48

